"filename", "language", "SCSS", "JavaScript", "JSON", "PostCSS", "Vue", "Markdown", "XML", "HTML", "JSON with Comments", "comment", "blank", "total"
"g:\cxj\front\cxj\pages-mall\pages\order\submit.vue", "Vue", 0, 0, 0, 0, 101, 0, 0, 0, 0, 9, 8, 118
"g:\cxj\front\cxj\pages-mall\pages\shopping-cart.vue", "Vue", 0, 0, 0, 0, 337, 0, 0, 0, 0, 25, 42, 404
"g:\cxj\front\cxj\pages-mine\components\city-picker.vue", "Vue", 0, 0, 0, 0, 221, 0, 0, 0, 0, 6, 6, 233
"g:\cxj\front\cxj\pages-mine\components\question-list.vue", "Vue", 0, 0, 0, 0, 108, 0, 0, 0, 0, 1, 14, 123
"g:\cxj\front\cxj\pages-mine\components\record-list.vue", "Vue", 0, 0, 0, 0, 138, 0, 0, 0, 0, 2, 18, 158
"g:\cxj\front\cxj\pages-mine\pages\address\add-or-update.vue", "Vue", 0, 0, 0, 0, 162, 0, 0, 0, 0, 9, 14, 185
"g:\cxj\front\cxj\pages-mine\pages\address\list.vue", "Vue", 0, 0, 0, 0, 71, 0, 0, 0, 0, 1, 10, 82
"g:\cxj\front\cxj\pages-mine\pages\collection.vue", "Vue", 0, 0, 0, 0, 144, 0, 0, 0, 0, 3, 11, 158
"g:\cxj\front\cxj\pages-mine\pages\discounts.vue", "Vue", 0, 0, 0, 0, 151, 0, 0, 0, 0, 3, 13, 167
"g:\cxj\front\cxj\pages-mine\pages\message.vue", "Vue", 0, 0, 0, 0, 170, 0, 0, 0, 0, 6, 4, 180
"g:\cxj\front\cxj\pages-mine\pages\mine.vue", "Vue", 0, 0, 0, 0, 396, 0, 0, 0, 0, 41, 45, 482
"g:\cxj\front\cxj\pages-mine\pages\user.vue", "Vue", 0, 0, 0, 0, 246, 0, 0, 0, 0, 18, 28, 292
"g:\cxj\front\cxj\pages-points\components\points-discount-card.vue", "Vue", 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 5, 156
"g:\cxj\front\cxj\pages-points\components\points-goods-card.vue", "Vue", 0, 0, 0, 0, 72, 0, 0, 0, 0, 1, 3, 76
